Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-12-30,380.640015,382.579987,378.429993,382.429993,376.70459,84022200,2224
2023-01-03,384.369995,386.429993,377.829987,380.820007,375.118713,74850700,2225
2023-01-04,383.179993,385.880005,380,383.76001,378.014709,85934100,2226
2023-01-05,381.720001,381.839996,378.76001,379.380005,373.700256,76970500,2227
2023-01-06,382.609985,389.25,379.410004,388.079987,382.27002,104189600,2228
2023-01-09,390.369995,393.700012,387.670013,387.859985,382.053314,73978100,2229
2023-01-10,387.25,390.649994,386.269989,390.579987,384.732605,65358100,2230
2023-01-11,392.230011,395.600006,391.380005,395.519989,389.598602,68881100,2231
2023-01-12,396.670013,398.48999,392.420013,396.959991,391.01709,90157700,2232
2023-01-13,393.619995,399.100006,393.339996,398.5,392.533997,63903900,2233
2023-01-17,398.480011,400.230011,397.059998,397.769989,391.814941,62677300,2234
2023-01-18,399.01001,400.119995,391.279999,391.48999,385.628937,99632300,2235
2023-01-19,389.359985,391.079987,387.26001,388.640015,382.821655,86958900,2236
2023-01-20,390.100006,396.040009,388.380005,395.880005,389.953278,91806400,2237
2023-01-23,396.720001,402.649994,395.720001,400.630005,394.632141,84178800,2238
2023-01-24,398.880005,401.149994,397.640015,400.200012,394.208557,59524900,2239
2023-01-25,395.950012,400.700012,393.559998,400.350006,394.356323,84800300,2240
2023-01-26,403.130005,404.920013,400.029999,404.75,398.69043,72287400,2241
2023-01-27,403.660004,408.160004,403.440002,405.679993,399.606476,68346200,2242
2023-01-30,402.799988,405.130005,400.279999,400.589996,394.592712,74202000,2243
2023-01-31,401.130005,406.529999,400.769989,406.480011,400.394562,86811800,2244
2023-02-01,405.209991,413.670013,402.350006,410.799988,404.649872,101459200,2245
2023-02-02,414.859985,418.309998,412.880005,416.779999,410.540314,101654500,2246
2023-02-03,411.589996,416.970001,411.089996,412.350006,406.176666,94736800,2247
2023-02-06,409.790009,411.290009,408.100006,409.829987,403.694366,60295300,2248
2023-02-07,408.869995,416.48999,407.570007,415.190002,408.974152,90990700,2249
2023-02-08,413.130005,414.529999,409.929993,410.649994,404.502075,76227500,2250
2023-02-09,414.410004,414.570007,405.809998,407.089996,400.995453,78694900,2251
2023-02-10,405.859985,408.440002,405.01001,408.040009,401.931213,70769700,2252
2023-02-13,408.720001,412.970001,408.23999,412.829987,406.649475,64913500,2253
2023-02-14,411.23999,415.049988,408.51001,412.640015,406.462341,88389300,2254
2023-02-15,410.350006,414.059998,409.470001,413.980011,407.782257,61555700,2255
2023-02-16,408.790009,412.910004,408.140015,408.279999,402.167572,76431500,2256
2023-02-17,406.059998,407.51001,404.049988,407.26001,401.162872,89257800,2257
2023-02-21,403.059998,404.160004,398.820007,399.089996,393.115143,82655900,2258
2023-02-22,399.519989,401.130005,397.019989,398.540009,392.573425,83742300,2259
2023-02-23,401.559998,402.200012,396.25,400.660004,394.661652,96242400,2260
2023-02-24,395.420013,397.25,393.640015,396.380005,390.44577,108194400,2261
2023-02-27,399.869995,401.290009,396.75,397.730011,391.775543,80444700,2262
2023-02-28,397.230011,399.279999,396.149994,396.26001,390.327576,96438600,2263
2023-03-01,395.410004,396.690002,393.380005,394.73999,388.830292,99706800,2264
2023-03-02,392.679993,398.690002,392.329987,397.809998,391.854309,85127800,2265
2023-03-03,399.709991,404.450012,399.029999,404.190002,398.138824,90120000,2266
2023-03-06,405.049988,407.450012,404.01001,404.470001,398.414612,72795900,2267
2023-03-07,404.420013,404.670013,397.630005,398.269989,392.307434,108310600,2268
2023-03-08,398.390015,399.709991,396.589996,398.920013,392.947754,74746600,2269
2023-03-09,399.73999,401.480011,390.529999,391.559998,385.697906,111945300,2270
2023-03-10,390.98999,393.160004,384.320007,385.910004,380.132507,189253000,2271
2023-03-13,381.809998,390.390015,380.649994,385.359985,379.590729,157790000,2272
